index,Key,Year,subject,bat_species,Bat_names (following current nomemclature),Bat Family,Virus,Virus Family,Bioregions,BIOG-Support
253,6CS7462S,1996,bat,Tadarida condylura,Mops condylurus,Molossidae,EBOV,Filoviridae,Y,seropositivity
254,6CS7462S,1996,bat,Tadarida pumilia,Mops pumilus,Molossidae,EBOV,Filoviridae,Y,seropositivity
255,6CS7462S,1996,bat,Epomophorus wahlbergi,Epomophorus wahlbergi,Pteropodidae,EBOV,Filoviridae,Y,Circulationg in areas where the bat is common
256,UMQ6IH3N,1994,bat,Pipistrellus pipistrellus,Pipistrellus pipistrellus,Vespertilionodae,ARAV,Rhabdoviridae,Y,circulates in the area
257,UMQ6IH3N,1994,bat,Pipistrellus pipistrellus,Pipistrellus pipistrellus,Vespertilionodae,Lyssavirus serotypes 1 and 4,Rhabdoviridae,Y,Circulating in Europe
258,UMQ6IH3N,1994,bat,Pipistrellus pipistrellus,Pipistrellus pipistrellus,Vespertilionodae,Lyssavirus serotype 4,Rhabdoviridae,Y,Circulating in Europe
259,D5EPGDQ2,1992,bat,Myotis daubentonii,Myotis daubentonii,Vespertilionodae,Lyssaviruses-Stade,Rhabdoviridae,Y,Circulating in Europe
260,D5EPGDQ2,1992,bat,Myotis daubentonii,Myotis daubentonii,Vespertilionodae,Lyssaviruses Yuli,Rhabdoviridae,Y,Circulating in Europe
261,D5EPGDQ2,1992,bat,Myotis daubentonii,Myotis daubentonii,Vespertilionodae,Lyssavirus-1150,Rhabdoviridae,Y,Circulating in Europe
262,D5EPGDQ2,1992,bat,Myotis brandtii,Myotis brandtii,Vespertilionodae,Lyssaviruses-Stade,Rhabdoviridae,Y,Circulating in Europe
263,D5EPGDQ2,1992,bat,Myotis brandtii,Myotis brandtii,Vespertilionodae,Lyssaviruses Yuli,Rhabdoviridae,Y,Circulating in Europe
264,D5EPGDQ2,1992,bat,Myotis brandtii,Myotis brandtii,Vespertilionodae,Lyssavirus-1150,Rhabdoviridae,Y,Circulating in Europe
265,YTM88ELA,1986,bat,Desmodus rotundus,Desmodus rotundus,Phyllostomidae,Foot and Mouth disease virus (strains O and A),Picornaviridae,Y,circulation in LA
266,MCPVUAXZ,1982,bat,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,WNV,Flaviviridae,Y,circulating in areas where the bat is endemic
267,MCPVUAXZ,1982,bat,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,JEV,Flaviviridae,Y,circulation in NA
268,G2H7J97U,1979,bat,Rousettus leschenaultii,Rousettus leschenaultii,Pteropodidae,JEV,Flaviviridae,Y,circulation in NA
269,9XE9JTKH,1978,bat,Artibeus lituratus,Artibeus lituratus,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
270,9XE9JTKH,1978,bat,Artibeus jamaicensis,Artibeus jamaicensis,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
271,9XE9JTKH,1978,bat,Carollia subrufa,Carollia subrufa,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
272,9XE9JTKH,1978,bat,Sturnira lilium,Sturnira parvidens,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
273,9XE9JTKH,1978,bat,Phyllostomus discolor,Phyllostomus discolor,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
274,5CAXUUA5,1978,bat,Artibeus lituratus,Artibeus lituratus,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
275,5CAXUUA5,1978,bat,Artibeus jamaicensis,Artibeus jamaicensis,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
276,5CAXUUA5,1978,bat,Carollia subrufa,Carollia subrufa,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
277,5CAXUUA5,1978,bat,Sturnira lilium,Sturnira parvidens,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
278,5CAXUUA5,1978,bat,Phyllostomus discolor,Phyllostomus discolor,Phyllostomidae,VEEV,Togaviridae,Y,circulation in LA
279,PHU9R8XL,1968,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,JEV,Flaviviridae,Y,circulation in NA
280,PHU9R8XL,1968,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,SLEV,Flaviviridae,Y,circulation in NA
281,PHU9R8XL,1968,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,JEV,Flaviviridae,Y,circulation in NA
282,PHU9R8XL,1968,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,SLEV,Flaviviridae,Y,circulation in NA
283,PJGXLW97,1968,bat,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,JEV,Flaviviridae,Y,circulation in NA
284,RLAA6UGP,1967,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,RABV,Rhabdoviridae,Y,Circulating in areas where virus is endemic
285,U98TX4XV,1967,bat,Myotis myotis,Myotis myotis,Vespertilionodae,Bunyavirus (Tahyna Virus),Bunyaviridae,N,
286,SAUSCC2X,1966,bat,Pteropus giganteus,Pteropus vampyrus,Pteropodidae,CHIKV,Togaviridae,Y,endemic area
287,CUMAFTKI,1966,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,JEV,Flaviviridae,Y,circulation in NA
288,CUMAFTKI,1966,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,SLEV,Flaviviridae,Y,circulation in NA
289,CUMAFTKI,1966,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,JEV,Flaviviridae,Y,circulation in NA
290,CUMAFTKI,1966,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,SLEV,Flaviviridae,Y,circulation in NA
